,,,"Vancouver, City [Census subdivision], British Columbia",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   50317,,   58349,,   42777,,   47487,,   56740,,   38632,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,  530765,,  257295,,  273470,,27500230,,13446230,,14053995,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   40787,,   45930,,   35948,,   38977,,   45404,,   32828,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,  477830,,  232485,,  245350,,24584065,,12295015,,12289055,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   51607,,   60814,,   42883,,   46885,,   56803,,   36962,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,  364195,,  159020,,  205175,,19742130,, 8752070,,10990060,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    5528,,    5268,,    5730,,    7738,,    7345,,    8050,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,  401075,,  200160,,  200915,,20428670,,10542540,, 9886130,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   49021,,   57313,,   40762,,   46057,,   54369,,   37193,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,  547845,,  265115,,  282730,,28643015,,13990430,,14652585,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24,  170880,,   93385,,   77490,, 9367045,, 5231015,, 4136035,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   55278,,   59824,,   51258,,   53431,,   59326,,   47420,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   71274,,   79578,,   61266,,   65997,,   74289,,   55510,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     92.6,,     94.5,,     90.0,,     88.3,,     91.6,,     83.7,
"Income of individuals in 2015","    Employment income (%)",29,     73.7,,     76.5,,     69.9,,     72.0,,     75.2,,     67.7,
"Income of individuals in 2015","  Government transfers (%)",30,      7.4,,      5.5,,     10.0,,     11.7,,      8.4,,     16.3,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,  547845,,  265125,,  282720,,28642980,,13990620,,14652360,
"Income of individuals in 2015","  Without total income",,   17765,,    8660,,    9110,, 1154450,,  546285,,  608165,
"Income of individuals in 2015","  With total income",,  530080,,  256470,,  273605,,27488530,,13444335,,14044195,
"Income of individuals in 2015","  Percentage with total income",,     96.8,,     96.7,,     96.8,,     96.0,,     96.1,,     95.8,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   85555,,   38570,,   46980,, 3877620,, 1668960,, 2208655,
"Income of individuals in 2015","    $10;000 to $19;999",,   96425,,   42655,,   53765,, 4680380,, 1867600,, 2812785,
"Income of individuals in 2015","    $20;000 to $29;999",,   66035,,   29500,,   36530,, 3807840,, 1593335,, 2214505,
"Income of individuals in 2015","    $30;000 to $39;999",,   55095,,   25115,,   29980,, 3206175,, 1472670,, 1733510,
"Income of individuals in 2015","    $40;000 to $49;999",,   48970,,   22535,,   26435,, 2827045,, 1376565,, 1450480,
"Income of individuals in 2015","    $50;000 to $59;999",,   38495,,   18730,,   19760,, 2179775,, 1145685,, 1034090,
"Income of individuals in 2015","    $60;000 to $69;999",,   30380,,   15595,,   14780,, 1655070,,  938755,,  716310,
"Income of individuals in 2015","    $70;000 to $79;999",,   23860,,   12360,,   11500,, 1271850,,  745830,,  526015,
"Income of individuals in 2015","    $80;000 to $89;999",,   18885,,    9910,,    8975,,  966885,,  579290,,  387590,
"Income of individuals in 2015","    $90;000 to $99;999",,   13895,,    7695,,    6200,,  749290,,  452240,,  297050,
"Income of individuals in 2015","    $100;000 and over",,   52495,,   33800,,   18685,, 2266600,, 1603400,,  663195,
"Income of individuals in 2015","      $100;000 to $149;999",,   31480,,   19355,,   12130,, 1493570,, 1024210,,  469365,
"Income of individuals in 2015","      $150;000 and over",,   21015,,   14455,,    6560,,  773025,,  579190,,  193830,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,  547845,,  265125,,  282715,,28642980,,13990620,,14652360,
"Income of individuals in 2015","  Without after-tax income",,   17090,,    8015,,    9075,, 1143795,,  541620,,  602175,
"Income of individuals in 2015","  With after-tax income",,  530760,,  257115,,  273640,,27499185,,13449010,,14050175,
"Income of individuals in 2015","  Percentage with after-tax income",,     96.9,,     97.0,,     96.8,,     96.0,,     96.1,,     95.9,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   88970,,   40795,,   48175,, 4004475,, 1706825,, 2297645,
"Income of individuals in 2015","    $10;000 to $19;999",,  100690,,   45125,,   55565,, 4905055,, 1972920,, 2932130,
"Income of individuals in 2015","    $20;000 to $29;999",,   77735,,   35220,,   42510,, 4489925,, 1926175,, 2563755,
"Income of individuals in 2015","    $30;000 to $39;999",,   65670,,   29885,,   35780,, 3924960,, 1870705,, 2054250,
"Income of individuals in 2015","    $40;000 to $49;999",,   54025,,   25660,,   28360,, 3144200,, 1619670,, 1524525,
"Income of individuals in 2015","    $50;000 to $59;999",,   39605,,   20115,,   19485,, 2209280,, 1245570,,  963705,
"Income of individuals in 2015","    $60;000 to $69;999",,   29280,,   15210,,   14070,, 1540300,,  912230,,  628065,
"Income of individuals in 2015","    $70;000 to $79;999",,   21510,,   11460,,   10045,, 1076180,,  654570,,  421610,
"Income of individuals in 2015","    $80;000 and over",,   53275,,   33640,,   19630,, 2204820,, 1540335,,  664485,
"Income of individuals in 2015","      $80;000 to $89;999",,   14125,,    8225,,    5905,,  688705,,  444550,,  244145,
"Income of individuals in 2015","      $90;000 to $99;999",,    9350,,    5725,,    3625,,  420975,,  291090,,  129885,
"Income of individuals in 2015","      $100;000 and over",,   29800,,   19695,,   10100,, 1095140,,  804690,,  290445,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,  547845,,  265130,,  282715,,28642980,,13990625,,14652360,
"Income of individuals in 2015","  Without employment income",,  146775,,   65195,,   81570,, 8214295,, 3442860,, 4771430,
"Income of individuals in 2015","  With employment income",,  401075,,  199930,,  201145,,20428690,,10547760,, 9880925,
"Income of individuals in 2015","  Percentage with employment income",,     73.2,,     75.4,,     71.1,,     71.3,,     75.4,,     67.4,
"Income of individuals in 2015","    Under $5;000 (including loss)",,   51270,,   23085,,   28190,, 2778990,, 1357430,, 1421560,
"Income of individuals in 2015","    $5;000 to $9;999",,   29405,,   13005,,   16405,, 1602140,,  697025,,  905120,
"Income of individuals in 2015","    $10;000 to $19;999",,   54795,,   24940,,   29855,, 2736010,, 1212855,, 1523155,
"Income of individuals in 2015","    $20;000 to $29;999",,   45655,,   21135,,   24520,, 2293785,, 1022090,, 1271695,
"Income of individuals in 2015","    $30;000 to $39;999",,   41770,,   19625,,   22145,, 2149860,, 1001065,, 1148795,
"Income of individuals in 2015","    $40;000 to $49;999",,   38570,,   17880,,   20690,, 1928565,,  946625,,  981940,
"Income of individuals in 2015","    $50;000 to $59;999",,   30125,,   15295,,   14825,, 1554100,,  839045,,  715055,
"Income of individuals in 2015","    $60;000 to $69;999",,   24220,,   12850,,   11370,, 1220310,,  708270,,  512040,
"Income of individuals in 2015","    $70;000 to $79;999",,   19345,,   10355,,    8990,,  992170,,  591945,,  400225,
"Income of individuals in 2015","    $80;000 and over",,   65920,,   41765,,   24160,, 3172770,, 2171415,, 1001355,
"Income of individuals in 2015","      $80;000 to $89;999",,   15480,,    8420,,    7060,,  773755,,  475700,,  298055,
"Income of individuals in 2015","      $90;000 to $99;999",,   11080,,    6415,,    4665,,  623980,,  382330,,  241650,
"Income of individuals in 2015","      $100;000 and over",,   39360,,   26925,,   12435,, 1775030,, 1313385,,  461645,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,  283920,,,...,,...,14072080,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   65327,,,...,,...,   70336,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   56908,,,...,,...,   61348,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,  110020,,,...,,..., 3969790,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   38449,,,...,,...,   35174,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   33957,,,...,,...,   31446,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,  173895,,,...,,...,10102290,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   89207,,,...,,...,   88249,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   77792,,,...,,...,   76419,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35,  283915,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,   93947,,,...,,...,   92764,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,   76249,,,...,,...,   76171,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",,  110025,,,...,,..., 3967765,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   52841,,,...,,...,   46799,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   43034,,,...,,...,   38685,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,  173890,,,...,,...,10104315,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,  119956,,,...,,...,  110813,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,   97265,,,...,,...,   90890,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,  283915,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Under $5;000",,    9965,,,...,,...,  228790,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,    5830,,,...,,...,  200315,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,   12065,,,...,,...,  374575,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,   14620,,,...,,...,  565940,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,   11735,,,...,,...,  602800,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,   11280,,,...,,...,  538710,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,   11360,,,...,,...,  603480,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,   11200,,,...,,...,  606600,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,   11445,,,...,,...,  596110,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,   10995,,,...,,...,  578325,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,   21055,,,...,,..., 1097345,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,   19180,,,...,,..., 1010415,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,   17365,,,...,,...,  924320,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,   15290,,,...,,...,  836765,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,   13185,,,...,,...,  745655,,,...,,...
"Income of households in 2015","  $100;000 and over",,   87365,,,...,,..., 4561920,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,   25415,,,...,,..., 1470255,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,   18000,,,...,,..., 1016245,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",,   20635,,,...,,..., 1116140,,,...,,...
"Income of households in 2015","    $200;000 and over",,   23310,,,...,,...,  959285,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,  283915,,,...,,...,14072075,,,...,,...
"Income of households in 2015","  Under $5;000",,   10690,,,...,,...,  243780,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,    5900,,,...,,...,  203865,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,   12295,,,...,,...,  380680,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,   15100,,,...,,...,  591660,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,   13380,,,...,,...,  673740,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,   13580,,,...,,...,  628225,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,   13810,,,...,,...,  719825,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,   13785,,,...,,...,  725675,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,   13520,,,...,,...,  711180,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,   13085,,,...,,...,  691695,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,   24025,,,...,,..., 1299680,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,   21315,,,...,,..., 1169515,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,   18365,,,...,,..., 1041635,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,   15250,,,...,,...,  900055,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,   12795,,,...,,...,  757295,,,...,,...
"Income of households in 2015","  $100;000 and over",,   67015,,,...,,..., 3333575,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,   24115,,,...,,..., 1371945,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,   15235,,,...,,...,  809540,,,...,,...
"Income of households in 2015","    $150;000 and over",,   27660,,,...,,..., 1152090,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37,  157895,,,...,,..., 9688845,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   90754,,,...,,...,   88306,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   78915,,,...,,...,   76372,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      2.9,,,...,,...,      3.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",,   64285,,,...,,..., 3706220,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   89248,,,...,,...,   78976,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   76651,,,...,,...,   68309,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",,   63885,,,...,,..., 4222140,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,  111636,,,...,,...,  113465,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,   96822,,,...,,...,   96608,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.0,,,...,,...,      4.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,   23190,,,...,,..., 1481410,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   52242,,,...,,...,   53193,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   47864,,,...,,...,   48856,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.5,,,...,,...,      2.7,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38,  157765,,,...,,..., 9689855,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,  123043,,,...,,...,  111235,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,   99168,,,...,,...,   91040,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,   64115,,,...,,..., 3706400,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,  122724,,,...,,...,  101086,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   97432,,,...,,...,   82296,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,   63955,,,...,,..., 4225855,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  146259,,,...,,...,  137094,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,  117820,,,...,,...,  111307,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,   23130,,,...,,..., 1477190,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   68258,,,...,,...,   65549,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   58017,,,...,,...,   56687,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,  159610,,   77970,,   81640,, 5313545,, 2608845,, 2704705,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   32285,,   32735,,   31872,,   31890,,   34483,,   29801,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   29113,,   29381,,   28877,,   28959,,   30746,,   27495,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,  159335,,   77730,,   81605,, 5299050,, 2596985,, 2702070,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   45574,,   47649,,   43597,,   42939,,   46085,,   39915,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   37678,,   38938,,   36477,,   35801,,   37724,,   33952,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,  618210,,  301665,,  316545,,34460065,,16971550,,17488515,
"Income of economic families in 2015","  In the bottom half of the distribution",,  312560,,  149205,,  163360,,17229835,, 8256970,, 8972865,
"Income of economic families in 2015","    In the bottom decile",,   93215,,   45030,,   48190,, 3445950,, 1672900,, 1773050,
"Income of economic families in 2015","    In the second decile",,   63335,,   29625,,   33710,, 3445660,, 1564965,, 1880700,
"Income of economic families in 2015","    In the third decile",,   53770,,   25580,,   28190,, 3446165,, 1641930,, 1804235,
"Income of economic families in 2015","    In the fourth decile",,   51155,,   24475,,   26685,, 3445850,, 1677120,, 1768730,
"Income of economic families in 2015","    In the fifth decile",,   51080,,   24495,,   26585,, 3446210,, 1700060,, 1746150,
"Income of economic families in 2015","  In the top half of the distribution",,  305650,,  152460,,  153185,,17230230,, 8714580,, 8515650,
"Income of economic families in 2015","    In the sixth decile",,   50755,,   24580,,   26170,, 3445695,, 1716510,, 1729185,
"Income of economic families in 2015","    In the seventh decile",,   51560,,   25365,,   26200,, 3446470,, 1730975,, 1715500,
"Income of economic families in 2015","    In the eighth decile",,   54985,,   27165,,   27820,, 3445940,, 1741640,, 1704300,
"Income of economic families in 2015","    In the ninth decile",,   62020,,   31070,,   30960,, 3446045,, 1751850,, 1694195,
"Income of economic families in 2015","    In the top decile",,   86325,,   44285,,   42045,, 3446080,, 1773600,, 1672475,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,  618210,,  301665,,  316545,,33968295,,16724265,,17244035,
"Low income in 2015","  0 to 17 years",,   86040,,   44615,,   41425,, 6836380,, 3504250,, 3332125,
"Low income in 2015","    0 to 5 years",,   29140,,   15210,,   13920,, 2228770,, 1142505,, 1086270,
"Low income in 2015","  18 to 64 years",,  441005,,  215215,,  225785,,21695090,,10690090,,11005005,
"Low income in 2015","  65 years and over",,   91160,,   41830,,   49335,, 5436830,, 2529930,, 2906905,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",,  116045,,   55460,,   60585,, 4809940,, 2243200,, 2566740,
"Low income in 2015","  0 to 17 years",,   17130,,    8815,,    8320,, 1163830,,  597570,,  566255,
"Low income in 2015","    0 to 5 years",,    4945,,    2485,,    2455,,  396095,,  203055,,  193030,
"Low income in 2015","  18 to 64 years",,   79800,,   38185,,   41620,, 2855290,, 1341590,, 1513700,
"Low income in 2015","  65 years and over",,   19115,,    8465,,   10650,,  790825,,  304040,,  486780,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,     18.8,,     18.4,,     19.1,,     14.2,,     13.4,,     14.9,
"Low income in 2015","  0 to 17 years (%)",,     19.9,,     19.8,,     20.1,,     17.0,,     17.1,,     17.0,
"Low income in 2015","    0 to 5 years (%)",,     17.0,,     16.3,,     17.6,,     17.8,,     17.8,,     17.8,
"Low income in 2015","  18 to 64 years (%)",,     18.1,,     17.7,,     18.4,,     13.2,,     12.5,,     13.8,
"Low income in 2015","  65 years and over (%)",,     21.0,,     20.2,,     21.6,,     14.5,,     12.0,,     16.7,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",,  106445,,   51215,,   55225,, 3128995,, 1519370,, 1609630,
"Low income in 2015","  0 to 17 years",,   13965,,    7185,,    6775,,  696025,,  357255,,  338770,
"Low income in 2015","    0 to 5 years",,    3900,,    1945,,    1955,,  236435,,  121170,,  115260,
"Low income in 2015","  18 to 64 years",,   79195,,   38255,,   40930,, 2157745,, 1057585,, 1100160,
"Low income in 2015","  65 years and over",,   13290,,    5770,,    7520,,  275225,,  104525,,  170695,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,     17.2,,     17.0,,     17.4,,      9.2,,      9.1,,      9.3,
"Low income in 2015","  0 to 17 years (%)",,     16.2,,     16.1,,     16.4,,     10.2,,     10.2,,     10.2,
"Low income in 2015","    0 to 5 years (%)",,     13.4,,     12.8,,     14.0,,     10.6,,     10.6,,     10.6,
"Low income in 2015","  18 to 64 years (%)",,     18.0,,     17.8,,     18.1,,      9.9,,      9.9,,     10.0,
"Low income in 2015","  65 years and over (%)",,     14.6,,     13.8,,     15.2,,      5.1,,      4.1,,      5.9,
"Knowledge of languages","Total - Knowledge of languages for the population in private households - 25% sample data",44,  618210,,  301665,,  316545,,34460065,,16971575,,17488485,
"Knowledge of languages","  Official languages",,  576100,,  284425,,  291675,,33818210,,16709290,,17108920,
"Knowledge of languages","    English",,  575700,,  284250,,  291450,,29748265,,14806270,,14941995,
"Knowledge of languages","    French",,   61745,,   27745,,   33995,,10242945,, 4952455,, 5290495,
"Knowledge of languages","  Non-official languages",,  333915,,  154335,,  179580,, 9369280,, 4488185,, 4881090,
"Knowledge of languages","    Aboriginal languages",,     625,,     275,,     350,,  263845,,  127550,,  136295,
"Knowledge of languages","      Algonquian languages",,     240,,     115,,     130,,  177570,,   85505,,   92065,
"Knowledge of languages","        Blackfoot",,      10,,       0,,      10,,    5645,,    2695,,    2950,
"Knowledge of languages","        Cree-Montagnais languages",,     155,,      80,,      75,,  116585,,   56515,,   60070,
"Knowledge of languages","          Atikamekw",,       0,,       0,,       0,,    6640,,    3335,,    3305,
"Knowledge of languages","          Montagnais (Innu)",,       0,,       0,,       0,,   11440,,    5500,,    5945,
"Knowledge of languages","          Moose Cree",,       0,,       0,,       0,,     195,,      80,,     115,
"Knowledge of languages","          Naskapi",,       0,,       0,,       0,,    1465,,     710,,     755,
"Knowledge of languages","          Northern East Cree",,       0,,       0,,       0,,     545,,     225,,     320,
"Knowledge of languages","          Plains Cree",,      30,,      15,,      20,,    5905,,    2705,,    3200,
"Knowledge of languages","          Southern East Cree",,       0,,       0,,       0,,      40,,      30,,      10,
"Knowledge of languages","          Swampy Cree",,      10,,       0,,       0,,    2345,,     995,,    1350,
"Knowledge of languages","          Woods Cree",,      10,,       0,,       0,,    2665,,    1230,,    1435,
"Knowledge of languages","          Cree; n.o.s.",,     115,,      65,,      50,,   86115,,   42080,,   44035,
"Knowledge of languages","        Eastern Algonquian languages",,      15,,      10,,       0,,    9765,,    4710,,    5050,
"Knowledge of languages","          Malecite",,       0,,       0,,       0,,     755,,     370,,     390,
"Knowledge of languages","          Mi'kmaq",,      10,,      10,,      10,,    9025,,    4350,,    4670,
"Knowledge of languages","        Ojibway-Potawatomi languages",,      60,,      25,,      40,,   46685,,   22100,,   24585,
"Knowledge of languages","          Algonquin",,      15,,      10,,      10,,    2480,,    1165,,    1315,
"Knowledge of languages","          Ojibway",,      45,,      20,,      25,,   28585,,   13365,,   15220,
"Knowledge of languages","          Oji-Cree",,       0,,       0,,       0,,   15610,,    7575,,    8030,
"Knowledge of languages","          Ottawa (Odawa)",,       0,,       0,,       0,,     205,,     105,,     105,
"Knowledge of languages","        Algonquian languages; n.i.e.",,       0,,       0,,       0,,     120,,      60,,      60,
"Knowledge of languages","      Athabaskan languages",,      40,,      15,,      30,,   23655,,   11340,,   12320,
"Knowledge of languages","        Northern Athabaskan languages",,      45,,      15,,      25,,   23570,,   11300,,   12265,
"Knowledge of languages","          Babine (Wetsuwet'en)",,       0,,       0,,       0,,     210,,     105,,     100,
"Knowledge of languages","          Beaver",,       0,,       0,,       0,,     340,,     180,,     165,
"Knowledge of languages","          Carrier",,      25,,       0,,      20,,    2105,,     955,,    1145,
"Knowledge of languages","          Chilcotin",,      10,,       0,,       0,,    1150,,     535,,     610,
"Knowledge of languages","          Dene",,       0,,       0,,       0,,   13060,,    6270,,    6790,
"Knowledge of languages","          Dogrib (Tlicho)",,       0,,       0,,       0,,    2375,,    1210,,    1165,
"Knowledge of languages","          Gwich'in",,       0,,       0,,       0,,     360,,     165,,     200,
"Knowledge of languages","          Sarsi (Sarcee)",,       0,,       0,,       0,,     150,,      60,,      90,
"Knowledge of languages","          Sekani",,       0,,       0,,       0,,     185,,      85,,     100,
"Knowledge of languages","          Slavey-Hare languages",,       0,,       0,,       0,,    2815,,    1340,,    1475,
"Knowledge of languages","            North Slavey (Hare)",,       0,,       0,,       0,,    1010,,     475,,     530,
"Knowledge of languages","            South Slavey",,       0,,       0,,       0,,    1365,,     660,,     710,
"Knowledge of languages","            Slavey; n.o.s.",,       0,,       0,,       0,,     680,,     320,,     360,
"Knowledge of languages","          Tahltan languages",,       0,,       0,,       0,,     630,,     340,,     285,
"Knowledge of languages","            Kaska (Nahani)",,       0,,       0,,       0,,     365,,     205,,     170,
"Knowledge of languages","            Tahltan",,      10,,       0,,       0,,     270,,     140,,     130,
"Knowledge of languages","          Tutchone languages",,       0,,       0,,       0,,     420,,     160,,     260,
"Knowledge of languages","            Northern Tutchone",,       0,,       0,,       0,,     285,,     115,,     170,
"Knowledge of languages","            Southern Tutchone",,       0,,       0,,       0,,     145,,      50,,      95,
"Knowledge of languages","        Athabaskan languages; n.i.e.",,       0,,       0,,       0,,      85,,      35,,      50,
"Knowledge of languages","      Haida",,      25,,      10,,      15,,     465,,     205,,     260,
"Knowledge of languages","      Inuit languages",,      20,,      10,,      15,,   42980,,   21355,,   21630,
"Knowledge of languages","        Inuinnaqtun (Inuvialuktun)",,      10,,      10,,       0,,    1975,,     895,,    1080,
"Knowledge of languages","        Inuktitut",,      10,,       0,,      10,,   40620,,   20280,,   20340,
"Knowledge of languages","        Inuit languages; n.i.e.",,       0,,       0,,       0,,     470,,     225,,     240,
"Knowledge of languages","      Iroquoian languages",,      10,,      10,,       0,,    2800,,    1240,,    1555,
